,contacts_chain_AB_32.csv,contacts_chain_AB_26.csv,contacts_chain_AB_27.csv,contacts_chain_AB_33.csv,contacts_chain_AB_25.csv,contacts_chain_AB_31.csv,contacts_chain_AB_19.csv,contacts_chain_AB_18.csv,contacts_chain_AB_30.csv,contacts_chain_AB_24.csv,contacts_chain_AB_20.csv,contacts_chain_AB_34.csv,contacts_chain_AB_35.csv,contacts_chain_AB_21.csv,contacts_chain_AB_37.csv,contacts_chain_AB_23.csv,contacts_chain_AB_22.csv,contacts_chain_AB_36.csv,contacts_chain_AB_51.csv,contacts_chain_AB_45.csv,contacts_chain_AB_44.csv,contacts_chain_AB_50.csv,contacts_chain_AB_46.csv,contacts_chain_AB_52.csv,contacts_chain_AB_53.csv,contacts_chain_AB_47.csv,contacts_chain_AB_43.csv,contacts_chain_AB_57.csv,contacts_chain_AB_56.csv,contacts_chain_AB_42.csv,contacts_chain_AB_68.csv,contacts_chain_AB_54.csv,contacts_chain_AB_40.csv,contacts_chain_AB_8.csv,contacts_chain_AB_9.csv,contacts_chain_AB_41.csv,contacts_chain_AB_55.csv,contacts_chain_AB_69.csv,contacts_chain_AB_70.csv,contacts_chain_AB_64.csv,contacts_chain_AB_58.csv,contacts_chain_AB_4.csv,contacts_chain_AB_5.csv,contacts_chain_AB_59.csv,contacts_chain_AB_65.csv,contacts_chain_AB_71.csv,contacts_chain_AB_67.csv,contacts_chain_AB_73.csv,contacts_chain_AB_7.csv,contacts_chain_AB_6.csv,contacts_chain_AB_72.csv,contacts_chain_AB_66.csv,contacts_chain_AB_62.csv,contacts_chain_AB_2.csv,contacts_chain_AB_3.csv,contacts_chain_AB_63.csv,contacts_chain_AB_49.csv,contacts_chain_AB_61.csv,contacts_chain_AB_1.csv,contacts_chain_AB_0.csv,contacts_chain_AB_60.csv,contacts_chain_AB_74.csv,contacts_chain_AB_48.csv,contacts_chain_AB_13.csv,contacts_chain_AB_12.csv,contacts_chain_AB_10.csv,contacts_chain_AB_38.csv,contacts_chain_AB_39.csv,contacts_chain_AB_11.csv,contacts_chain_AB_29.csv,contacts_chain_AB_15.csv,contacts_chain_AB_14.csv,contacts_chain_AB_28.csv,contacts_chain_AB_16.csv,contacts_chain_AB_17.csv
contacts_chain_AB_32.csv,0.0,2.473722390128023,3.13552526036014,2.4740873281439835,2.7421574074037114,2.4902345399847174,2.6142664036053165,2.6872688717496334,2.7810957997160957,2.862588873019331,2.468073316493647,2.9551061460898103,2.5790802717174355,2.7723306572152797,2.9940252819661684,2.636079024569344,2.714548799001717,2.8905688614980316,2.9533284236773127,2.5912408524100785,2.9241148740110883,2.783639962764344,2.631865447048232,3.0180236451757767,3.0129355690265522,2.8510988101659502,2.996068050678485,2.457715442801056,2.4705004726313766,3.004519313839152,2.4719137685889883,2.7963754272050654,3.1909653739689894,2.866325007031441,2.5922880690577483,3.009761149564022,2.5017590156056038,2.4740497616745323,2.479020253641503,2.4747500257972455,2.8252627682958487,2.4828593034438358,2.4816012331072748,2.479418946898957,2.4687206050709265,2.979774971328456,3.047729220364072,2.8886532469072197,2.604888152426782,2.881643971503491,2.482909076364183,2.459377323093302,2.5419626705804292,2.512185582643426,2.909906468013315,2.939249828345086,3.03180874049927,2.7895843709380377,2.880252061007666,3.1222125717435993,3.111930769364001,2.7541679454082133,3.1568490736074404,2.7332918953832643,2.8909748356948115,2.473505973530105,2.6122840033372876,2.5457284773176134,3.0052642866741763,2.4917879678112738,2.586581585953717,3.0655634286133586,2.4972268377038414,2.8360163828895817,2.471454239985924
contacts_chain_AB_26.csv,2.473722390128023,0.0,2.1173764185409714,0.9648022841778509,1.7384676053703987,1.0281858618702953,1.1536652756970567,2.006061209365204,1.6743934013801542,1.8449348322539216,0.8930375606639668,1.9053582500870576,1.1822218202058679,1.9295823832881727,2.1491008017755413,1.1882539366283265,1.2008970331693618,1.895680333452407,1.9152270102694964,1.808951862001861,1.5205806470196523,1.6111193629489735,1.0328864651736687,1.9497945170144095,1.9465351396843122,1.9599201323728508,1.3071937384429233,0.8454476197898109,0.9198535292488573,2.265187456579178,0.7162502000194904,1.142419442655413,2.3200037468330907,2.1385301440489655,1.3612421946008169,1.9172781624913506,1.147668529386019,0.8043070456729067,1.0181273690517851,0.87010971747028,1.611363868005483,0.9055208054050364,0.8143226422835547,0.6728824347559773,0.857015209943843,1.551268508558965,2.0139618468794485,1.7062889203994105,1.9485438290506636,1.8299508121288108,1.0754704229704408,0.9252242945842829,1.723233380526752,0.9389695530741269,1.9747953558950566,1.2224334097260299,1.7375632099255045,1.1793414686374049,2.3955848804611075,2.4940267983642705,2.151441579470744,2.016040165667378,1.8140385036629694,1.214743137557378,1.9545311714797515,0.959987467508097,1.4568679482017073,1.6741356570965549,2.066676804127938,1.128355166007487,1.770159379114844,1.4666964616924445,1.0207494073576664,0.9689125439985101,0.8798760284777749
contacts_chain_AB_27.csv,3.13552526036014,2.1173764185409714,0.0,2.149940494819698,2.1088307945302627,2.1931762829283286,2.1860533320874147,1.4045095083256869,2.0803247465745214,2.1720668390431097,2.1347087767925754,2.63126213254369,1.837870185325238,1.8943960302170422,1.7154113218203462,2.405837626358018,2.3587194865182646,2.615252650904534,1.6715862012334548,2.6645868619509105,1.9476852354855656,2.4476352996551296,2.107797593130853,1.58381602729869,2.4304055468612478,2.0200285993942235,2.044326783006314,2.166139922872479,2.1405447605121566,3.0177982998990314,2.143032012103779,2.066089185320126,2.9514300985873207,1.7824276424555698,2.414659487714544,2.634508559612204,1.5967293286747908,2.210886245633295,1.6958918130496459,2.1540593414674096,2.6991054758754642,1.8249286045545585,1.974706524327414,2.1792409508797848,2.137189401328717,2.386061023479971,2.3208392643441,2.4240555699912902,2.4845649263926535,1.5787959437069516,2.173168494484207,2.150810457557171,2.326217597676909,1.791912180144184,2.6889153521807168,2.409124288866621,2.0471541799922206,2.4535533253354163,2.937244320810471,2.9318361396895303,2.0349199694121425,2.836576959726982,1.9386920877754386,1.8841193996446122,1.8380516150707458,2.1459209257409517,2.3461699610270337,2.1797698502636282,2.7436416008303643,1.7685008648329952,1.8149844415927172,2.8459955361590703,1.9939361701083742,2.168643825407226,2.1429259641411074
contacts_chain_AB_33.csv,2.4740873281439835,0.9648022841778509,2.149940494819698,0.0,1.8438111350691233,0.9992696620272429,1.5689590931007782,2.1348309833636154,1.7081823685803095,2.029406676734487,0.7564060188207182,1.975785150619438,1.3695650992070567,1.991526171818084,1.9168916814305148,1.6183371914078912,1.492757558151956,1.9757999612075567,2.1758972527290057,1.9524799009434133,1.725978043272217,1.9665930148771849,1.3051970644506026,2.0646044625626203,1.89342980517261,2.083751791227017,1.3368685820639858,0.9992936199391088,0.687718020887215,2.3613805368059047,0.6383059364817313,1.4803687913681525,2.4071812212521526,2.016350490001881,1.4702240269694706,2.0688887356719787,1.3658478244638241,0.9080165846847785,0.9009275617767526,0.5013285444663683,1.8057875190248303,0.5346312282949237,0.9588664102827074,1.0286980928729097,0.6369674152763902,0.7462715394204714,2.062959436284241,1.8636114642593995,2.0935493423400917,1.9403048583054452,1.3931305626288613,0.8808877812328061,2.0741805134115516,1.1000849870251284,2.0518860792501634,1.183155394435201,2.0818055870126155,1.5637480095975198,2.3378977616003063,2.4589616271915444,2.2247666734049134,2.182288311130305,1.9312160949653319,1.2931491779279927,1.7670699389765578,0.8954839282382749,1.5506465089628512,1.8972553817799802,2.0847473387021536,1.2539834679170674,1.8810012080905116,2.452508276627109,1.6573892271204753,1.7619254612353663,0.73958988300656
contacts_chain_AB_25.csv,2.7421574074037114,1.7384676053703987,2.1088307945302627,1.8438111350691233,0.0,1.9845469980571178,2.3777938938674708,2.517087289926241,1.9056550368175704,2.216871341492754,1.9133340380153516,2.481778950804751,2.2137976411990072,1.7431826782098547,2.3843744963547717,1.6749513055482073,2.28828196732119,2.373537975097715,1.450332799661729,1.8552182557086272,2.2967112477484073,2.0266746487361864,2.429952863511257,1.811688880645162,2.4390012036218707,2.204133217509454,1.8168782363177385,1.9494501184004782,1.9215719026176012,2.792156653729603,1.9267711982852256,2.197273896409171,2.764115935352488,2.249484285399353,2.0237536948378505,2.157488921363948,2.0210600992481766,1.9341963287835355,1.9488827851635326,1.9306325701829874,2.4879395319329034,1.9615250353086549,1.95874516159699,1.9515576411082642,1.9167598992600696,2.4122454247022542,2.7040200658463776,2.494985820355193,2.344175488424455,1.7894936276417015,1.9620131797183706,1.9433863617913167,2.1401468647007444,2.05334954800311,2.196587713648798,2.3276411258820127,2.075541929639613,2.0885371417796734,2.33366188950312,2.6317270195424585,2.2618115970496597,2.7399544356507306,2.620775813757533,2.031722120218598,1.9044657483886247,1.9315477761091575,1.9816623739862487,2.251130693798477,2.7365976665672704,1.989238599085681,2.2873582846574583,2.3988290860432175,1.5833423325692972,2.0991345807302855,1.9245606352964133
contacts_chain_AB_31.csv,2.4902345399847174,1.0281858618702953,2.1931762829283286,0.9992696620272429,1.9845469980571178,0.0,1.7146525812927154,2.291855074728854,2.121141057949903,2.198055098967677,1.8117444922930945,2.1057836217246266,1.740171941304551,2.173577712936517,2.102404011499933,1.8284551750296096,1.6853834846831546,2.0441713372058024,2.2058267325857397,2.082917795554922,1.9260229115612868,2.105255859378076,1.5875762607392547,2.120553692286861,1.9648217348190709,2.2287044598758974,1.3685657813627619,1.5367206299819338,1.708271071714561,2.447241121532822,1.3889022872106493,1.6547168685735443,2.464412936960314,2.2261029839077393,1.7704391681960345,2.2333851407554013,1.9473391536915112,1.6238578105905508,1.7602726879812025,0.9364007732630819,1.9212355228700637,1.061959650079893,1.5930670924846653,1.59759546030807,1.9218418091011458,1.4298560258070916,2.195562205222866,2.0082988896383003,2.3481690833364772,2.101392736551434,2.321722785134654,1.943982848008883,2.487395720072484,1.3476499595013194,2.1698924574564082,1.3788121373192803,2.1015137960453463,1.8424567742032434,2.392077117487402,2.4864645778191115,2.276937904395562,2.3092153045995643,2.123186298008482,1.3625934216256264,1.8305421085660514,1.9812093413440508,2.1176816975913297,2.184162735959829,2.083899226498809,1.9718934049589243,2.085990463881418,2.7276098126946295,1.8387938681198663,1.6861728722375018,1.987275583424549
contacts_chain_AB_19.csv,2.6142664036053165,1.1536652756970567,2.1860533320874147,1.5689590931007782,2.3777938938674708,1.7146525812927154,0.0,2.488009989955847,1.869842268322792,1.8014942258566082,1.6629112750508919,1.5877061673712247,1.5958841805847663,1.8998104447984014,2.054179691693096,1.2205742356618514,1.6274027236639494,1.5356272010854402,1.920909507466904,2.0971773754830276,1.5488621305976096,1.8149048762078062,1.2150047043076555,1.977071960445288,2.467858357741471,1.6855717001329182,1.4073721579425174,1.721326435857137,1.6738898012217132,2.384962708447122,1.5160580171790377,1.5278288057225335,2.445607865507858,2.3658822419799495,2.0667719509681124,2.081923282159923,1.5593320561978223,1.6910349731000647,1.7137022750145556,1.6947524930462423,1.8556488364264927,1.7330963400172523,1.5065613990758517,1.4336140105833803,1.6034615602810265,1.8749432878641987,2.400328741737596,1.8049527316660992,1.734894041004373,2.1620754129394837,1.5677913634646037,1.6898838692865648,1.9974902951451248,1.7400674453652316,2.1984181981941147,1.7069690206443593,1.7562862569131383,1.4631448498394883,2.2938790467561927,2.698702460648347,2.2654918761159766,2.277839939260618,1.9707616797114376,1.265507782431828,2.040018989125981,1.6885045353449426,1.6564629648012617,1.97310231184681,1.8316869661397386,1.7714200397565378,1.843008742609871,1.9355675238930388,1.8961582541248891,1.6769451263643038,1.6447458966475896
contacts_chain_AB_18.csv,2.6872688717496334,2.006061209365204,1.4045095083256869,2.1348309833636154,2.517087289926241,2.291855074728854,2.488009989955847,0.0,2.0667904210496544,2.4802746246772363,2.2635519782406157,2.814267305967272,2.1357321657728336,1.4983524761893232,1.909619268649835,2.448946431315714,2.3464974734963535,2.410806986333176,2.294712467940327,2.770021957778684,1.8601673277999695,2.176971930709874,1.9684646622716462,2.063313102791572,2.8907714847805446,2.9505707763724542,1.491848214796385,2.3103027951903794,2.272938167223675,2.5549671073435536,2.2792711912468038,2.5312531072736477,2.727987063047844,2.0983838467795515,2.7339204837506803,2.0230691209202925,1.7810164613448871,2.282395817239924,2.031990808818355,2.2955544283822578,2.1494835167134685,2.326291231110114,2.0608432468124804,2.310982907117338,2.267591040545812,2.7409001417100955,2.8747827719536745,2.826799448040826,2.809075961469612,2.212693147803344,2.326170200309606,2.290446431554821,2.5642317796599685,1.92059773474005,2.066247150129292,2.6676701908231104,1.9009413068719576,2.845234889259122,3.030809222415813,3.1102752635901525,2.516516418047049,2.859504218084221,2.9173621927329614,1.4230416896064402,2.8105193384905798,2.2848951659184666,2.35797188350601,2.597027177910899,2.87804912651636,2.163905576138295,1.9905136971490205,2.6113202103390663,2.6184409121705032,2.6216910479354922,2.276984539380678
contacts_chain_AB_30.csv,2.7810957997160957,1.6743934013801542,2.0803247465745214,1.7081823685803095,1.9056550368175704,2.121141057949903,1.869842268322792,2.0667904210496544,0.0,2.7266171457524857,1.9746683941011094,2.380030123817057,2.2760258549461936,1.9474223707077931,2.4853657024612836,1.676723575160119,1.7793119039891185,2.454024879549269,2.3047507640276303,2.0239375234499737,2.012426760296295,1.622763920411587,1.9640709064664252,2.140623194046785,2.160945636147338,1.9326143386362595,1.500685569160097,2.0339804088681603,2.0096824804302393,2.3497874013827134,2.0368329617537935,2.081919228708447,2.822188820384411,1.8541513949178121,2.087402489370923,2.2736729800048554,2.489046241901118,2.0654325357164347,2.138683206997571,2.077428744695338,1.6075804527726167,2.201478056013349,2.179751500335485,2.152869840442228,1.9779139473044767,2.655144335069213,2.4684089498507698,2.477939041702877,2.7177634137710167,1.5286938953780125,2.195767791105013,1.443246587721557,2.979686829186763,2.046123726174343,2.0320350058501155,2.3017042171794326,1.9675432218788742,2.225370002567945,2.4075324255352686,2.848942921136611,2.4883904881608996,2.3516371673074064,2.402500243959093,1.15617596139761,2.261475049618186,2.058426211756892,1.9162423202265295,2.2728852942241926,2.5895724870297046,2.3356639121310496,2.3464573371255,2.588950615995956,1.727296662926675,2.4958820570185334,2.0147796410633902
contacts_chain_AB_24.csv,2.862588873019331,1.8449348322539216,2.1720668390431097,2.029406676734487,2.216871341492754,2.198055098967677,1.8014942258566082,2.4802746246772363,2.7266171457524857,0.0,2.048004158683848,2.1422033431409293,1.963229087046808,2.5489038421867294,2.503741114066025,1.5943813943222012,2.003932721076465,1.4153729906363068,2.0897528195528916,2.4486959052827317,2.0520555619932375,2.245501009409353,1.6046249265607362,2.3113299080147716,1.712571575126327,1.9079418024247412,2.2070985366059315,2.202037815322986,2.114871809200478,2.6921492128781765,2.1526784262438516,1.8916871826337558,2.846768839521219,2.449094061204397,2.1972638344759905,2.2592782141966614,2.4826422521347795,2.1691553327826334,2.200672242481519,2.0325879381473277,2.173481273029943,2.270326144645435,2.302657508144284,1.9725507090205825,2.1222025547123224,2.5107630304235236,2.6218642920830915,2.037794006483307,1.8745299948265595,2.4595347866922217,2.099109238029677,2.243013989705517,3.0743794576867263,2.120054868203724,2.4272364176247887,1.879248906410314,1.9399182366292265,1.7194822502727947,2.3230491640306976,2.881502272023121,2.6297097941374186,2.3711263516980914,2.512260523759813,2.085349263259147,2.268561342706207,2.098652044253091,2.1062055695331576,2.2874274235583476,2.0756693118911094,2.3968611263584383,2.3824246820369983,2.515103868870723,2.1234950944122555,1.784268546589713,2.1913977750534017
